Variable,Valor,Unidad
Displacement,7028213,kg
Volume_displaced,6856.793,m^3
Draft_Amidships,6.477,m
Immersed_depth,6.476,m
WL_Length,96.948,m
Beam_max_WL,15.545,m
Wetted_Area,2270.459,m^2
Max_section_area,98.053,m^2
Waterplane_Area,1325.413,m^2
Prismatic_coeff_Cp,0.721,
Block_coeff_Cb,0.703,
Max_Section_area_coeff_Cm,0.982,
Waterpl_area_coeff_Cwp,0.879,
LCB_length,-51.233,
LCF_length,-53.605,
LCB_percent,-52.846,%
LCF_percent,-55.293,%
KB,3.578,m
KG_fluid,6.477,m
BMt,3.582,m
BML,121.702,m
GMt_corrected,0.683,m
GML,118.803,m
KMt,7.159,m
KML,125.279,m
Immersion_TPc,13.585,tonn
MTc,83.496,tonn
RM_1deg,83755.226,kgm
Length_Beam_ratio,6.237,
