frame,x_m,segmento,espac_m
0,0.0,Pique de proa,0.6
1,0.6,Pique de proa,0.6
2,1.2,Pique de proa,0.6
3,1.8,Pique de proa,0.6
4,2.4,Pique de proa,0.6
5,3.0,Pique de proa,0.6
6,3.6,Pique de proa,0.6
7,4.2,Pique de proa,0.6
8,4.8,Pique de proa,0.6
9,5.26,Pique de proa,0.6
10,5.26,Área de carga,0.7
11,5.96,Área de carga,0.7
12,6.66,Área de carga,0.7
13,7.36,Área de carga,0.7
14,8.06,Área de carga,0.7
15,8.76,Área de carga,0.7
16,9.46,Área de carga,0.7
17,10.16,Área de carga,0.7
18,10.86,Área de carga,0.7
19,11.56,Área de carga,0.7
20,12.26,Área de carga,0.7
21,12.96,Área de carga,0.7
22,13.66,Área de carga,0.7
23,14.36,Área de carga,0.7
24,15.06,Área de carga,0.7
25,15.76,Área de carga,0.7
26,16.46,Área de carga,0.7
27,17.16,Área de carga,0.7
28,17.86,Área de carga,0.7
29,18.56,Área de carga,0.7
30,19.26,Área de carga,0.7
31,19.96,Área de carga,0.7
32,20.66,Área de carga,0.7
33,21.36,Área de carga,0.7
34,22.06,Área de carga,0.7
35,22.76,Área de carga,0.7
36,23.46,Área de carga,0.7
37,24.16,Área de carga,0.7
38,24.86,Área de carga,0.7
39,25.56,Área de carga,0.7
40,26.26,Área de carga,0.7
41,26.96,Área de carga,0.7
42,27.66,Área de carga,0.7
43,28.36,Área de carga,0.7
44,29.06,Área de carga,0.7
45,29.76,Área de carga,0.7
46,30.46,Área de carga,0.7
47,31.16,Área de carga,0.7
48,31.86,Área de carga,0.7
49,32.56,Área de carga,0.7
50,33.26,Área de carga,0.7
51,33.96,Área de carga,0.7
52,34.66,Área de carga,0.7
53,35.36,Área de carga,0.7
54,36.06,Área de carga,0.7
55,36.76,Área de carga,0.7
56,37.46,Área de carga,0.7
57,38.16,Área de carga,0.7
58,38.86,Área de carga,0.7
59,39.56,Área de carga,0.7
60,40.26,Área de carga,0.7
61,40.96,Área de carga,0.7
62,41.66,Área de carga,0.7
63,42.36,Área de carga,0.7
64,43.06,Área de carga,0.7
65,43.76,Área de carga,0.7
66,44.46,Área de carga,0.7
67,45.16,Área de carga,0.7
68,45.86,Área de carga,0.7
69,46.56,Área de carga,0.7
70,47.26,Área de carga,0.7
71,47.96,Área de carga,0.7
72,48.66,Área de carga,0.7
73,49.36,Área de carga,0.7
74,50.06,Área de carga,0.7
75,50.76,Área de carga,0.7
76,51.46,Área de carga,0.7
77,52.16,Área de carga,0.7
78,52.86,Área de carga,0.7
79,53.56,Área de carga,0.7
80,54.26,Área de carga,0.7
81,54.96,Área de carga,0.7
82,55.66,Área de carga,0.7
83,56.36,Área de carga,0.7
84,57.06,Área de carga,0.7
85,57.76,Área de carga,0.7
86,58.46,Área de carga,0.7
87,59.16,Área de carga,0.7
88,59.86,Área de carga,0.7
89,60.56,Área de carga,0.7
90,61.26,Área de carga,0.7
91,61.96,Área de carga,0.7
92,62.66,Área de carga,0.7
93,63.36,Área de carga,0.7
94,64.06,Área de carga,0.7
95,64.76,Área de carga,0.7
96,65.46,Área de carga,0.7
97,66.16,Área de carga,0.7
98,66.86,Área de carga,0.7
99,67.56,Área de carga,0.7
100,68.26,Área de carga,0.7
101,68.96,Área de carga,0.7
102,69.66,Área de carga,0.7
103,70.36,Área de carga,0.7
104,71.06,Área de carga,0.7
105,71.76,Área de carga,0.7
106,72.46,Área de carga,0.7
107,73.03,Área de carga,0.7
108,73.03,Cámara de máquinas,0.6
109,73.63,Cámara de máquinas,0.6
110,74.23,Cámara de máquinas,0.6
111,74.83,Cámara de máquinas,0.6
112,75.43,Cámara de máquinas,0.6
113,76.03,Cámara de máquinas,0.6
114,76.63,Cámara de máquinas,0.6
115,77.23,Cámara de máquinas,0.6
116,77.83,Cámara de máquinas,0.6
117,78.43,Cámara de máquinas,0.6
118,79.03,Cámara de máquinas,0.6
119,79.63,Cámara de máquinas,0.6
120,80.23,Cámara de máquinas,0.6
121,80.83,Cámara de máquinas,0.6
122,81.43,Cámara de máquinas,0.6
123,82.03,Cámara de máquinas,0.6
124,82.63,Cámara de máquinas,0.6
125,83.23,Cámara de máquinas,0.6
126,83.83,Cámara de máquinas,0.6
127,84.43,Cámara de máquinas,0.6
128,85.03,Cámara de máquinas,0.6
129,85.63,Cámara de máquinas,0.6
130,86.23,Cámara de máquinas,0.6
131,86.83,Cámara de máquinas,0.6
132,87.43,Cámara de máquinas,0.6
133,88.03,Cámara de máquinas,0.6
134,88.63,Cámara de máquinas,0.6
135,89.23,Cámara de máquinas,0.6
136,89.83,Cámara de máquinas,0.6
137,90.43,Cámara de máquinas,0.6
138,91.03,Cámara de máquinas,0.6
139,91.63,Cámara de máquinas,0.6
140,92.23,Cámara de máquinas,0.6
141,92.83,Cámara de máquinas,0.6
142,93.43,Cámara de máquinas,0.6
143,94.03,Cámara de máquinas,0.6
144,94.63,Cámara de máquinas,0.6
145,95.23,Cámara de máquinas,0.6
146,95.83,Cámara de máquinas,0.6
147,96.43,Cámara de máquinas,0.6
148,97.03,Cámara de máquinas,0.6
149,97.63,Cámara de máquinas,0.6
150,98.23,Cámara de máquinas,0.6
151,99.07,Cámara de máquinas,0.6
152,99.07,Pique de popa,0.6
153,99.67,Pique de popa,0.6
154,100.27,Pique de popa,0.6
155,100.87,Pique de popa,0.6
156,101.47,Pique de popa,0.6
157,102.07,Pique de popa,0.6
158,102.67,Pique de popa,0.6
159,103.27,Pique de popa,0.6
160,103.87,Pique de popa,0.6
161,104.47,Pique de popa,0.6
162,105.2,Pique de popa,0.6
